wave,degradation,level,parameter,post_mean,post_sd,ci_lo,ci_hi,ci_width,base_mean,base_ci_lo,base_ci_hi,base_width,mean_shift,mean_shift_pct,ci_width_ratio,coverage,level_num
wave1,Stochastic,0.3,Beta3,0.170732727686535,0.006425833222673619,0.15811175633039282,0.18316692826180006,0.025055171931407244,0.17065699047510807,0.15801457627129864,0.18408432091368088,0.026069744642382237,7.573721142692391e-5,0.04437978849625319,0.9610823686655688,TRUE,0.3
wave1,Stochastic,0.3,rho_y,0.05582171548043248,0.01087201166519044,0.03776540532505626,0.07920673461702574,0.041441329291969475,0.07300834689715849,0.04942372231657174,0.10287482181252733,0.05345109949595559,-0.01718663141672601,-23.54063904629365,0.7753129436580656,TRUE,0.3
wave1,Stochastic,0.3,rho_o,0.2731590491804162,0.05403283160289353,0.18177357974689823,0.3983937427140665,0.2166201629671683,0.35791185228124206,0.2387890706220669,0.503270871055416,0.2644818004333491,-0.08475280310082584,-23.679797849842725,0.8190361779609776,TRUE,0.3
wave1,Stochastic,0.5,Beta1,0.5105095987816295,0.03501909624984234,0.440097685723226,0.5862561383625795,0.1461584526393535,0.5284160492618926,0.4644648452778266,0.6017606198665374,0.13729577458871078,-0.01790645048026307,-3.3887029936496704,1.0645517174668495,TRUE,0.5
wave1,Stochastic,0.5,Beta2,0.13751560910360874,0.007171154213000287,0.12437283010884094,0.15212533920405724,0.0277525090952163,0.13705098035032395,0.12405495081983131,0.15223970827148692,0.028184757451655607,4.6462875328479036e-4,0.3390189198917993,0.9846637546134386,TRUE,0.5
wave1,Stochastic,0.5,Beta3,0.17039609314086326,0.006170351904619882,0.15912446393617805,0.18279097242761824,0.023666508491440197,0.17065699047510807,0.15801457627129864,0.18408432091368088,0.026069744642382237,-2.6089733424480843e-4,-0.1528781994329513,0.9078151250075907,TRUE,0.5
wave1,Stochastic,0.5,rho_y,0.04094366814775795,0.00822021528748774,0.02710779421492506,0.06018990938414379,0.03308211516921873,0.07300834689715849,0.04942372231657174,0.10287482181252733,0.05345109949595559,-0.03206467874940054,-43.9191956976751,0.6189230059097645,FALSE,0.5
wave1,Stochastic,0.5,rho_o,0.20219668121828296,0.04282283675457844,0.1327018955150118,0.3033002978203233,0.1705984023053115,0.35791185228124206,0.2387890706220669,0.503270871055416,0.2644818004333491,-0.1557151710629591,-43.50657014303072,0.6450288905542415,FALSE,0.5
wave1,Aggregation,2,Beta1,0.5178820948358924,0.038518267862211575,0.44482238967871035,0.5950036335904044,0.15018124391169407,0.5284160492618926,0.4644648452778266,0.6017606198665374,0.13729577458871078,-0.010533954426000136,-1.9934963066913431,1.0938519001155247,TRUE,2
wave1,Aggregation,2,Beta2,0.1390341243740587,0.010134332782732023,0.12003883989178842,0.15871517920084974,0.03867633930906132,0.13705098035032395,0.12405495081983131,0.15223970827148692,0.028184757451655607,0.0019831440237347564,1.4470119211592116,1.3722431131579396,TRUE,2
wave1,Aggregation,2,Beta3,0.1705991559420871,0.010842216569776596,0.1503367432871234,0.19246826718316298,0.04213152389603958,0.17065699047510807,0.15801457627129864,0.18408432091368088,0.026069744642382237,-5.7834533020967305e-5,-0.03388934309690819,1.6161080391844462,TRUE,2
wave1,Aggregation,2,rho_y,0.07341577880475547,0.016616520280194374,0.04592545514491828,0.11031665963149459,0.06439120448657631,0.07300834689715849,0.04942372231657174,0.10287482181252733,0.05345109949595559,4.0743190759698344e-4,0.5580620914084015,1.2046750224744864,TRUE,2
wave1,Aggregation,2,rho_o,0.3828532641286834,0.08341522594489555,0.24048152782829674,0.5623930060976292,0.3219114782693325,0.35791185228124206,0.2387890706220669,0.503270871055416,0.2644818004333491,0.024941411847441364,6.968590642771661,1.2171403769253148,TRUE,2
wave1,Aggregation,4,Beta1,0.5307444943278776,0.052330975155622954,0.4303054361311004,0.6408065090637797,0.21050107293267928,0.5284160492618926,0.4644648452778266,0.6017606198665374,0.13729577458871078,0.002328445065985063,0.4406461668296232,1.5331941100391873,TRUE,4
wave1,Aggregation,4,Beta2,0.1344851666416592,0.014104435023614654,0.10950777360529995,0.16314846180554118,0.05364068820024123,0.13705098035032395,0.12405495081983131,0.15223970827148692,0.028184757451655607,-0.002565813708664766,-1.8721600546790258,1.9031807632990758,TRUE,4
wave1,Aggregation,4,Beta3,0.18903704243195066,0.024654461508516107,0.1391443279177409,0.23631065343340613,0.09716632551566523,0.17065699047510807,0.15801457627129864,0.18408432091368088,0.026069744642382237,0.018380051956842586,10.770172323836618,3.7271682883191537,FALSE,4
wave1,Aggregation,4,rho_y,0.06430218813495699,0.021886772953809166,0.032032363842551606,0.11984022433208111,0.0878078604895295,0.07300834689715849,0.04942372231657174,0.10287482181252733,0.05345109949595559,-0.008706158762201502,-11.924881376187342,1.6427699582900728,TRUE,4
wave1,Aggregation,4,rho_o,0.39522397314488844,0.11259579546676321,0.2039839611559757,0.6168540944915553,0.41287013333557954,0.35791185228124206,0.2387890706220669,0.503270871055416,0.2644818004333491,0.03731212086364638,10.424946987876513,1.5610530957483597,TRUE,4
